Step 13850, train loss = 0.18, train accuracy = 0.88%
Step 13900, train loss = 0.25, train accuracy = 0.94%
Step 13950, train loss = 0.12, train accuracy = 0.94%
Step 14000, train loss = 0.02, train accuracy = 1.00%
Step 14050, train loss = 0.07, train accuracy = 0.94%
Step 14100, train loss = 0.12, train accuracy = 0.94%
Step 14150, train loss = 0.05, train accuracy = 1.00%
Step 14200, train loss = 0.05, train accuracy = 1.00%
Step 14250, train loss = 0.02, train accuracy = 1.00%
Step 14300, train loss = 0.04, train accuracy = 1.00%
Step 14350, train loss = 0.03, train accuracy = 1.00%
Step 14400, train loss = 0.01, train accuracy = 1.00%
Step 14450, train loss = 0.09, train accuracy = 0.94%
Step 14500, train loss = 0.02, train accuracy = 1.00%
Step 14550, train loss = 0.10, train accuracy = 0.94%
Step 14600, train loss = 0.00, train accuracy = 1.00%
Step 14650, train loss = 0.14, train accuracy = 0.94%
Step 14700, train loss = 0.06, train accuracy = 0.94%
Step 14750, train loss = 0.06, train accuracy = 0.94%
Step 14800, train loss = 0.03, train accuracy = 1.00%
Step 14850, train loss = 0.03, train accuracy = 1.00%
Step 14900, train loss = 0.01, train accuracy = 1.00%
Step 14950, train loss = 0.00, train accuracy = 1.00%
